SeqId,Heap3SortNComp,Heap3SortTns,AVLTreeSortNComp,AVLTreeSortTns,
seq_350_81,1491,64200,2442,58900,
seq_350_82,1501,82300,2449,60300,
seq_350_83,1509,97900,2436,91900,
seq_350_84,1513,65500,2473,61400,
seq_350_85,1509,68100,2440,62000,
seq_350_86,1499,68100,2431,65200,
seq_350_87,1505,60800,2447,58100,
seq_350_88,1512,57100,2427,67300,
seq_350_89,1503,54600,2458,66400,
seq_350_90,1510,54100,2462,52900,
seq_350_91,1506,54500,2432,50600,
seq_350_92,1514,52300,2407,51000,
seq_350_93,1514,89900,2453,69100,
seq_350_94,1511,69900,2455,59700,
seq_350_95,1516,68200,2436,66200,
seq_350_96,1516,54700,2452,56100,
seq_350_97,1527,59000,2428,54400,
seq_350_98,1497,63500,2428,61500,
seq_350_99,1522,60900,2437,54000,
seq_400_0,1780,78700,2853,86200,
seq_400_1,1755,78000,2846,82100,
seq_400_2,1782,65900,2851,64800,
seq_400_3,1759,47200,2842,47000,
seq_400_4,1772,49000,2901,48300,
seq_400_5,1774,51900,2915,46800,
seq_400_6,1789,75500,2898,56600,
seq_400_7,1779,60000,2799,56000,
seq_400_8,1764,46800,2892,50700,
seq_400_9,1775,58900,2861,58300,
seq_400_10,1789,49700,2848,47400,
seq_400_11,1780,45100,2894,44200,
seq_400_12,1779,46500,2869,52500,
seq_400_13,1747,82300,2868,68200,
seq_400_14,1808,40900,2869,40000,
seq_400_15,1761,102800,2797,56600,
seq_400_16,1761,50700,2869,53800,
seq_400_17,1758,42100,2893,58700,
seq_400_18,1778,59200,2862,51200,
seq_400_19,1768,47600,2892,48100,
seq_400_20,1795,53100,2863,47300,
seq_400_21,1766,50100,2868,49800,
seq_400_22,1768,46600,2847,56900,
